Team,Opponent,Date,Win,OffAdjusted,DefAdjusted,OffAdjusted2,DefAdjusted2
Virginia,Louisville,2018,1,123.6,88.1,113.4,92.5
North Texas,FIU,2018,0,99.6,99.1,102,105.2
FIU,North Texas,2018,1,102,105.2,99.6,99.1
Maine,Vermont,2018,0,93.1,111.8,108,99.3
Vermont,Maine,2018,1,108,99.3,93.1,111.8
Bowling Green,VCU,2018,0,108.3,102.1,104.3,88.7
VCU,Bowling Green,2018,1,104.3,88.7,108.3,102.1
Penn State,DePaul,2018,0,109.5,94.2,110.7,104.5
DePaul,Penn State,2018,1,110.7,104.5,109.5,94.2
Princeton,Lehigh,2018,0,98.7,99.7,108.7,109.5
Lehigh,Princeton,2018,1,108.7,109.5,98.7,99.7
Northern Iowa,Old Dominion,2018,0,101.2,102.4,102,96.4
Old Dominion,Northern Iowa,2018,1,102,96.4,101.2,102.4
Cal Poly,Portland,2018,0,96.9,114.6,94.3,110
Portland,Cal Poly,2018,1,94.3,110,96.9,114.6
Charlotte,Charleston,2018,0,95.5,106.6,108.5,103.4
Charleston,Charlotte,2018,1,108.5,103.4,95.5,106.6
Northeastern,Syracuse,2018,0,111.5,102.8,110.2,94
Syracuse,Northeastern,2018,1,110.2,94,111.5,102.8
Wofford,Kansas,2018,0,118.5,97.7,112.8,92.1
Kansas,Wofford,2018,1,112.8,92.1,118.5,97.7
Georgetown,Syracuse,2018,0,109.2,101.9,110.2,94
Syracuse,Georgetown,2018,1,110.2,94,109.2,101.9
Arkansas State,Minnesota,2018,0,102.3,110,110.7,96.3
Minnesota,Arkansas State,2018,1,110.7,96.3,102.3,110
Purdue,Texas,2018,0,121.1,95.1,114.1,96.5
Texas,Purdue,2018,1,114.1,96.5,121.1,95.1
Lipscomb,Louisville,2018,0,111,97.2,113.4,92.5
Louisville,Lipscomb,2018,1,113.4,92.5,111,97.2
Rutgers,Seton Hall,2018,0,105.6,96.3,109.3,96.6
Seton Hall,Rutgers,2018,1,109.3,96.6,105.6,96.3
Maine,Duquesne,2018,0,93.1,111.8,104.4,105.3
Duquesne,Maine,2018,1,104.4,105.3,93.1,111.8
William & Mary,Virginia,2018,0,103.4,108.1,123.6,88.1
Virginia,William & Mary,2018,1,123.6,88.1,103.4,108.1
Bryant,Iowa,2018,0,99.4,114.8,117.2,101.3
Iowa,Bryant,2018,1,117.2,101.3,99.4,114.8
IUPUI,Wright State,2018,0,103.4,105.8,106.7,102
Wright State,IUPUI,2018,1,106.7,102,103.4,105.8
Utah State,Nevada,2018,0,113,96.4,114.1,95.2
Nevada,Utah State,2018,1,114.1,95.2,113,96.4
Colgate,Navy,2018,0,110.1,105.8,97.2,107.1
Navy,Colgate,2018,1,97.2,107.1,110.1,105.8
Gardner-Webb,Campbell,2018,0,107.6,108.3,107.8,109.9
Campbell,Gardner-Webb,2018,1,107.8,109.9,107.6,108.3
Kennesaw State,NJIT,2018,0,91.8,110.7,102.2,103.1
NJIT,Kennesaw State,2018,1,102.2,103.1,91.8,110.7
Quinnipiac,Rider,2018,0,105.3,111.5,101.3,105.8
Rider,Quinnipiac,2018,1,101.3,105.8,105.3,111.5
Richmond,Dayton,2018,0,106.8,110.1,111.9,100.6
Dayton,Richmond,2018,1,111.9,100.6,106.8,110.1
Florida A&M,Norfolk State,2018,0,89,103.3,97.6,106
Norfolk State,Florida A&M,2018,1,97.6,106,89,103.3
Ohio State,Iowa,2018,0,109.3,94.3,117.2,101.3
Iowa,Ohio State,2018,1,117.2,101.3,109.3,94.3
Seton Hall,Providence,2018,0,109.3,96.6,105,95.8
Providence,Seton Hall,2018,1,105,95.8,109.3,96.6
Georgia Tech,Clemson,2018,0,101.8,96,109,91.5
Clemson,Georgia Tech,2018,1,109,91.5,101.8,96
Towson,Drexel,2018,0,100.1,110.6,105.5,112.9
Drexel,Towson,2018,1,105.5,112.9,100.1,110.6
Navy,Army,2018,0,97.2,107.1,96.2,103
Army,Navy,2018,1,96.2,103,97.2,107.1
Virginia,Duke,2018,0,123.6,88.1,120.1,88.2
Duke,Virginia,2018,1,120.1,88.2,123.6,88.1
Oklahoma State,Iowa State,2018,0,108.9,101.4,119.1,97.3
Iowa State,Oklahoma State,2018,1,119.1,97.3,108.9,101.4
North Alabama,Liberty,2018,0,95.1,105.1,110.6,99.6
Liberty,North Alabama,2018,1,110.6,99.6,95.1,105.1
Missouri,Arkansas,2018,0,106.8,97,110.3,97.3
Arkansas,Missouri,2018,1,110.3,97.3,106.8,97
Elon,Charleston,2018,0,99,111.1,108.5,103.4
Charleston,Elon,2018,1,108.5,103.4,99,111.1
Sacred Heart,Robert Morris,2018,0,104.2,110.7,95.9,104.2
Robert Morris,Sacred Heart,2018,1,95.9,104.2,104.2,110.7
Stetson,Jacksonville,2018,0,97.6,113.3,98.8,106.2
Jacksonville,Stetson,2018,1,98.8,106.2,97.6,113.3
North Texas,Old Dominion,2018,0,99.6,99.1,102,96.4
Old Dominion,North Texas,2018,1,102,96.4,99.6,99.1
William & Mary,Northeastern,2018,0,103.4,108.1,111.5,102.8
Northeastern,William & Mary,2018,1,111.5,102.8,103.4,108.1
Bryant,Robert Morris,2018,0,99.4,114.8,95.9,104.2
Robert Morris,Bryant,2018,1,95.9,104.2,99.4,114.8
Kent State,Akron,2018,0,109.7,106.8,99.9,93.8
Akron,Kent State,2018,1,99.9,93.8,109.7,106.8
Elon,Northeastern,2018,0,99,111.1,111.5,102.8
Northeastern,Elon,2018,1,111.5,102.8,99,111.1
East Carolina,South Florida,2018,0,98,107,102.4,97.3
South Florida,East Carolina,2018,1,102.4,97.3,98,107
Fairfield,Canisius,2018,0,95.8,107.3,101.5,111.4
Canisius,Fairfield,2018,1,101.5,111.4,95.8,107.3
Bucknell,Holy Cross,2018,0,105.5,103.7,101,107.8
Holy Cross,Bucknell,2018,1,101,107.8,105.5,103.7
UTSA,Louisiana Tech,2018,0,105.8,104.1,104.8,101.8
Louisiana Tech,UTSA,2018,1,104.8,101.8,105.8,104.1
Oregon,Oregon State,2018,0,107.8,92.6,111.2,103.3
Oregon State,Oregon,2018,1,111.2,103.3,107.8,92.6
Pepperdine,Saint Mary's,2018,0,106.7,105.4,114.7,97.1
Saint Mary's,Pepperdine,2018,1,114.7,97.1,106.7,105.4
Wichita State,Cincinnati,2018,0,106,98.5,111.7,94.6
Cincinnati,Wichita State,2018,1,111.7,94.6,106,98.5
Fordham,Richmond,2018,0,96.5,104.4,106.8,110.1
Richmond,Fordham,2018,1,106.8,110.1,96.5,104.4
Denver,South Dakota,2018,0,99.8,112.9,100.4,106.1
South Dakota,Denver,2018,1,100.4,106.1,99.8,112.9
Ohio State,Maryland,2018,0,109.3,94.3,113.9,94
Maryland,Ohio State,2018,1,113.9,94,109.3,94.3
Georgia,Ole Miss,2018,0,105.9,101.7,112.9,97.7
Ole Miss,Georgia,2018,1,112.9,97.7,105.9,101.7
Little Rock,Arkansas State,2018,0,99.8,104.8,102.3,110
Arkansas State,Little Rock,2018,1,102.3,110,99.8,104.8
Manhattan,Fairfield,2018,0,89.4,104.6,95.8,107.3
Fairfield,Manhattan,2018,1,95.8,107.3,89.4,104.6
Tulane,Tulsa,2018,0,96.6,107.4,104.7,100.5
Tulsa,Tulane,2018,1,104.7,100.5,96.6,107.4
Santa Clara,Loyola Marymount,2018,0,101.8,103.8,103.6,100.3
Loyola Marymount,Santa Clara,2018,1,103.6,100.3,101.8,103.8
Coppin State,Norfolk State,2018,0,88.6,109.1,97.6,106
Norfolk State,Coppin State,2018,1,97.6,106,88.6,109.1
Jacksonville,Liberty,2018,0,98.8,106.2,110.6,99.6
Liberty,Jacksonville,2018,1,110.6,99.6,98.8,106.2
Stephen F. Austin,Abilene Christ.,2018,0,95.4,108.2,103.7,101.6
Abilene Christ.,Stephen F. Austin,2018,1,103.7,101.6,95.4,108.2
East Carolina,Wichita State,2018,0,98,107,106,98.5
Wichita State,East Carolina,2018,1,106,98.5,98,107
Fordham,La Salle,2018,0,96.5,104.4,99.9,105.1
La Salle,Fordham,2018,1,99.9,105.1,96.5,104.4
Illinois,Penn State,2018,0,109.1,100.7,109.5,94.2
Penn State,Illinois,2018,1,109.5,94.2,109.1,100.7
Florida A&M,Loyola Marymount,2018,0,89,103.3,103.6,100.3
Loyola Marymount,Florida A&M,2018,1,103.6,100.3,89,103.3
Brown,Rhode Island,2018,0,98.7,96.9,103.7,101.2
Rhode Island,Brown,2018,1,103.7,101.2,98.7,96.9
South Alabama,Southern Miss,2018,0,103.1,107.5,106.6,100.2
Southern Miss,South Alabama,2018,1,106.6,100.2,103.1,107.5
Northern Iowa,Utah State,2018,0,101.2,102.4,113,96.4
Utah State,Northern Iowa,2018,1,113,96.4,101.2,102.4
Tennessee Tech,Chattanooga,2018,0,89.6,104.6,101.6,109.4
Chattanooga,Tennessee Tech,2018,1,101.6,109.4,89.6,104.6
Detroit,Akron,2018,0,106.2,112.6,99.9,93.8
Akron,Detroit,2018,1,99.9,93.8,106.2,112.6
Quinnipiac,Stony Brook,2018,0,105.3,111.5,99.2,99.9
Stony Brook,Quinnipiac,2018,1,99.2,99.9,105.3,111.5
Baylor,Wichita State,2018,0,113.6,98.3,106,98.5
Wichita State,Baylor,2018,1,106,98.5,113.6,98.3
William & Mary,Old Dominion,2018,0,103.4,108.1,102,96.4
Old Dominion,William & Mary,2018,1,102,96.4,103.4,108.1
South Alabama,New Orleans,2018,0,103.1,107.5,97,104.7
New Orleans,South Alabama,2018,1,97,104.7,103.1,107.5
Stony Brook,Brown,2018,0,99.2,99.9,98.7,96.9
Brown,Stony Brook,2018,1,98.7,96.9,99.2,99.9
Harvard,Vermont,2018,0,104.8,100.4,108,99.3
Vermont,Harvard,2018,1,108,99.3,104.8,100.4
New Hampshire,Niagara,2018,0,84.2,107.3,101.6,115.2
Niagara,New Hampshire,2018,1,101.6,115.2,84.2,107.3
Georgia State,Kansas State,2018,0,108,102.4,108,87.8
Kansas State,Georgia State,2018,1,108,87.8,108,102.4
Florida A&M,Oregon,2018,0,89,103.3,107.8,92.6
Oregon,Florida A&M,2018,1,107.8,92.6,89,103.3
Xavier,Missouri,2018,0,110.9,100.6,106.8,97
Missouri,Xavier,2018,1,106.8,97,110.9,100.6
Missouri State,Arkansas State,2018,0,103,103.9,102.3,110
Arkansas State,Missouri State,2018,1,102.3,110,103,103.9
Mercer,Florida,2018,0,103.6,106.2,110.3,91.9
Florida,Mercer,2018,1,110.3,91.9,103.6,106.2
Valparaiso,Texas A&M,2018,0,98.1,102.9,107,99.5
Texas A&M,Valparaiso,2018,1,107,99.5,98.1,102.9
UC-Irvine,Butler,2018,0,106.7,97.2,110.8,101.1
Butler,UC-Irvine,2018,1,110.8,101.1,106.7,97.2
Air Force,Michigan,2018,0,100.5,107.4,115.6,86.2
Michigan,Air Force,2018,1,115.6,86.2,100.5,107.4
South Dakota,North Dakota St.,2018,0,100.4,106.1,106.7,109.8
North Dakota St.,South Dakota,2018,1,106.7,109.8,100.4,106.1
American,George Washington,2018,0,101.9,105,95.2,106
George Washington,American,2018,1,95.2,106,101.9,105
Southern Miss,Louisiana Tech,2018,0,106.6,100.2,104.8,101.8
Louisiana Tech,Southern Miss,2018,1,104.8,101.8,106.6,100.2
Alabama A&M,Hawaii,2018,0,86.5,109.3,103.6,106.6
Hawaii,Alabama A&M,2018,1,103.6,106.6,86.5,109.3
Towson,William & Mary,2018,0,100.1,110.6,103.4,108.1
William & Mary,Towson,2018,1,103.4,108.1,100.1,110.6
Mercer,Furman,2018,0,103.6,106.2,109,96.3
Furman,Mercer,2018,1,109,96.3,103.6,106.2
Utah Valley,Grand Canyon,2018,0,108.9,102.1,108.1,102
Grand Canyon,Utah Valley,2018,1,108.1,102,108.9,102.1
Longwood,Radford,2018,0,96.3,106.6,108.7,104.3
Radford,Longwood,2018,1,108.7,104.3,96.3,106.6
Seattle,Grand Canyon,2018,0,100.8,102.3,108.1,102
Grand Canyon,Seattle,2018,1,108.1,102,100.8,102.3
Navy,American,2018,0,97.2,107.1,101.9,105
American,Navy,2018,1,101.9,105,97.2,107.1
West Virginia,Kansas State,2018,0,109.1,101.9,108,87.8
Kansas State,West Virginia,2018,1,108,87.8,109.1,101.9
Delaware,Charleston,2018,0,104.8,112.9,108.5,103.4
Charleston,Delaware,2018,1,108.5,103.4,104.8,112.9
Florida,Mississippi St.,2018,0,110.3,91.9,117.5,96.7
Mississippi St.,Florida,2018,1,117.5,96.7,110.3,91.9
USC Upstate,High Point,2018,0,92.9,111.4,99.2,104.7
High Point,USC Upstate,2018,1,99.2,104.7,92.9,111.4
Alabama,Tennessee,2018,0,108.2,96.7,122.6,95.6
Tennessee,Alabama,2018,1,122.6,95.6,108.2,96.7
Longwood,Presbyterian,2018,0,96.3,106.6,109.1,111.1
Presbyterian,Longwood,2018,1,109.1,111.1,96.3,106.6
California,Washington,2018,0,103,110.2,107,93.7
Washington,California,2018,1,107,93.7,103,110.2
Fordham,George Mason,2018,0,96.5,104.4,104.4,103.8
George Mason,Fordham,2018,1,104.4,103.8,96.5,104.4
VCU,Rhode Island,2018,0,104.3,88.7,103.7,101.2
Rhode Island,VCU,2018,1,103.7,101.2,104.3,88.7
Loyola Marymount,San Diego,2018,0,103.6,100.3,105.5,98.1
San Diego,Loyola Marymount,2018,1,105.5,98.1,103.6,100.3
Saint Mary's,BYU,2018,0,114.7,97.1,111.7,104.1
BYU,Saint Mary's,2018,1,111.7,104.1,114.7,97.1
Kansas,Kentucky,2018,0,112.8,92.1,118.3,90.9
Kentucky,Kansas,2018,1,118.3,90.9,112.8,92.1
Alcorn State,Alabama A&M,2018,0,88.8,113.5,86.5,109.3
Alabama A&M,Alcorn State,2018,1,86.5,109.3,88.8,113.5
USC Upstate,UNC Asheville,2018,0,92.9,111.4,92.9,117
UNC Asheville,USC Upstate,2018,1,92.9,117,92.9,111.4
Nebraska,Illinois,2018,0,112.6,97.2,109.1,100.7
Illinois,Nebraska,2018,1,109.1,100.7,112.6,97.2
Army,American,2018,0,96.2,103,101.9,105
American,Army,2018,1,101.9,105,96.2,103
Drexel,James Madison,2018,0,105.5,112.9,101,110.8
James Madison,Drexel,2018,1,101,110.8,105.5,112.9
UTEP,Louisiana Tech,2018,0,89.9,101.2,104.8,101.8
Louisiana Tech,UTEP,2018,1,104.8,101.8,89.9,101.2
Boise State,San Diego State,2018,0,107.2,104,103.8,98.8
San Diego State,Boise State,2018,1,103.8,98.8,107.2,104
Rutgers,Michigan State,2018,0,105.6,96.3,121.8,90.5
Michigan State,Rutgers,2018,1,121.8,90.5,105.6,96.3
New Mexico,Utah State,2018,0,104,105.6,113,96.4
Utah State,New Mexico,2018,1,113,96.4,104,105.6
UNC Wilmington,William & Mary,2018,0,105.4,114.4,103.4,108.1
William & Mary,UNC Wilmington,2018,1,103.4,108.1,105.4,114.4
South Florida,Houston,2018,0,102.4,97.3,114.2,91.8
Houston,South Florida,2018,1,114.2,91.8,102.4,97.3
Saint Louis,VCU,2018,0,102.5,96.4,104.3,88.7
VCU,Saint Louis,2018,1,104.3,88.7,102.5,96.4
Wyoming,Fresno State,2018,0,95,108.7,108.3,98.6
Fresno State,Wyoming,2018,1,108.3,98.6,95,108.7
Northern Iowa,Indiana State,2018,0,101.2,102.4,101.1,105.2
Indiana State,Northern Iowa,2018,1,101.1,105.2,101.2,102.4
Kentucky,Tennessee,2018,0,118.3,90.9,122.6,95.6
Tennessee,Kentucky,2018,1,122.6,95.6,118.3,90.9
Utah,Colorado,2018,0,114.3,108.9,107,96.5
Colorado,Utah,2018,1,107,96.5,114.3,108.9
Memphis,Cincinnati,2018,0,109,97.7,111.7,94.6
Cincinnati,Memphis,2018,1,111.7,94.6,109,97.7
Xavier,Butler,2018,0,110.9,100.6,110.8,101.1
Butler,Xavier,2018,1,110.8,101.1,110.9,100.6
Wake Forest,Duke,2018,0,104.6,104.9,120.1,88.2
Duke,Wake Forest,2018,1,120.1,88.2,104.6,104.9
IUPUI,Wright State,2018,0,103.4,105.8,106.7,102
Wright State,IUPUI,2018,1,106.7,102,103.4,105.8
North Florida,Liberty,2018,0,103.8,104.6,110.6,99.6
Liberty,North Florida,2018,1,110.6,99.6,103.8,104.6
Holy Cross,Providence,2018,0,101,107.8,105,95.8
Providence,Holy Cross,2018,1,105,95.8,101,107.8
Jackson State,Boise State,2018,0,89.8,104.7,107.2,104
Boise State,Jackson State,2018,1,107.2,104,89.8,104.7
Charleston,Oklahoma State,2018,0,108.5,103.4,108.9,101.4
Oklahoma State,Charleston,2018,1,108.9,101.4,108.5,103.4
Columbia,Fordham,2018,0,101.8,106.3,96.5,104.4
Fordham,Columbia,2018,1,96.5,104.4,101.8,106.3
Colorado,San Diego,2018,0,107,96.5,105.5,98.1
San Diego,Colorado,2018,1,105.5,98.1,107,96.5
Manhattan,George Washington,2018,0,89.4,104.6,95.2,106
George Washington,Manhattan,2018,1,95.2,106,89.4,104.6
Longwood,Seattle,2018,0,96.3,106.6,100.8,102.3
Seattle,Longwood,2018,1,100.8,102.3,96.3,106.6
Alabama,UCF,2018,0,108.2,96.7,110.5,95.8
UCF,Alabama,2018,1,110.5,95.8,108.2,96.7
Brown,Butler,2018,0,98.7,96.9,110.8,101.1
Butler,Brown,2018,1,110.8,101.1,98.7,96.9
Seattle,Washington,2018,0,100.8,102.3,107,93.7
Washington,Seattle,2018,1,107,93.7,100.8,102.3
New Orleans,Tulsa,2018,0,97,104.7,104.7,100.5
Tulsa,New Orleans,2018,1,104.7,100.5,97,104.7
Howard,George Washington,2018,0,101.9,114.3,95.2,106
George Washington,Howard,2018,1,95.2,106,101.9,114.3
Cincinnati,Mississippi St.,2018,0,111.7,94.6,117.5,96.7
Mississippi St.,Cincinnati,2018,1,117.5,96.7,111.7,94.6
Longwood,Cornell,2018,0,96.3,106.6,99.8,104.8
Cornell,Longwood,2018,1,99.8,104.8,96.3,106.6
Boise State,Loyola Marymount,2018,0,107.2,104,103.6,100.3
Loyola Marymount,Boise State,2018,1,103.6,100.3,107.2,104
Wichita State,VCU,2018,0,106,98.5,104.3,88.7
VCU,Wichita State,2018,1,104.3,88.7,106,98.5
Colorado,Hawaii,2018,0,107,96.5,103.6,106.6
Hawaii,Colorado,2018,1,103.6,106.6,107,96.5
Maine,Rutgers,2018,0,93.1,111.8,105.6,96.3
Rutgers,Maine,2018,1,105.6,96.3,93.1,111.8
Oklahoma,Kansas,2018,0,109.5,94,112.8,92.1
Kansas,Oklahoma,2018,1,112.8,92.1,109.5,94
Xavier,Marquette,2018,0,110.9,100.6,114.1,95.9
Marquette,Xavier,2018,1,114.1,95.9,110.9,100.6
Northern Iowa,Illinois State,2018,0,101.2,102.4,101.2,104.6
Illinois State,Northern Iowa,2018,1,101.2,104.6,101.2,102.4
Penn State,Nebraska,2018,0,109.5,94.2,112.6,97.2
Nebraska,Penn State,2018,1,112.6,97.2,109.5,94.2
Seton Hall,Marquette,2018,0,109.3,96.6,114.1,95.9
Marquette,Seton Hall,2018,1,114.1,95.9,109.3,96.6
Butler,Xavier,2018,0,110.8,101.1,110.9,100.6
Xavier,Butler,2018,1,110.9,100.6,110.8,101.1
Oregon State,Arizona State,2018,0,111.2,103.3,109.9,98.6
Arizona State,Oregon State,2018,1,109.9,98.6,111.2,103.3
Indiana,Purdue,2018,0,110.2,95.1,121.1,95.1
Purdue,Indiana,2018,1,121.1,95.1,110.2,95.1
North Florida,Liberty,2018,0,103.8,104.6,110.6,99.6
Liberty,North Florida,2018,1,110.6,99.6,103.8,104.6
Valparaiso,Indiana State,2018,0,98.1,102.9,101.1,105.2
Indiana State,Valparaiso,2018,1,101.1,105.2,98.1,102.9
DePaul,Providence,2018,0,110.7,104.5,105,95.8
Providence,DePaul,2018,1,105,95.8,110.7,104.5
Georgia,Arkansas,2018,0,105.9,101.7,110.3,97.3
Arkansas,Georgia,2018,1,110.3,97.3,105.9,101.7
Northwestern,Maryland,2018,0,103,93.5,113.9,94
Maryland,Northwestern,2018,1,113.9,94,103,93.5
James Madison,Charleston,2018,0,101,110.8,108.5,103.4
Charleston,James Madison,2018,1,108.5,103.4,101,110.8
UMKC,New Mexico St.,2018,0,101,107.2,112.7,99.1
New Mexico St.,UMKC,2018,1,112.7,99.1,101,107.2
Seton Hall,Butler,2018,0,109.3,96.6,110.8,101.1
Butler,Seton Hall,2018,1,110.8,101.1,109.3,96.6
Oklahoma State,TCU,2018,0,108.9,101.4,110.4,96.3
TCU,Oklahoma State,2018,1,110.4,96.3,108.9,101.4
Arkansas State,South Alabama,2018,0,102.3,110,103.1,107.5
South Alabama,Arkansas State,2018,1,103.1,107.5,102.3,110
San Diego,Pepperdine,2018,0,105.5,98.1,106.7,105.4
Pepperdine,San Diego,2018,1,106.7,105.4,105.5,98.1
UNC Wilmington,Delaware,2018,0,105.4,114.4,104.8,112.9
Delaware,UNC Wilmington,2018,1,104.8,112.9,105.4,114.4
UMKC,Cal Baptist,2018,0,101,107.2,106.7,109.3
Cal Baptist,UMKC,2018,1,106.7,109.3,101,107.2
Purdue,Maryland,2018,0,121.1,95.1,113.9,94
Maryland,Purdue,2018,1,113.9,94,121.1,95.1
Brown,Cornell,2018,0,98.7,96.9,99.8,104.8
Cornell,Brown,2018,1,99.8,104.8,98.7,96.9
American,Lafayette,2018,0,101.9,105,101.4,112.7
Lafayette,American,2018,1,101.4,112.7,101.9,105
Saint Louis,Dayton,2018,0,102.5,96.4,111.9,100.6
Dayton,Saint Louis,2018,1,111.9,100.6,102.5,96.4
Stanford,Arizona,2018,0,103.4,98.2,105,98.2
Arizona,Stanford,2018,1,105,98.2,103.4,98.2
Arkansas,Kentucky,2018,0,110.3,97.3,118.3,90.9
Kentucky,Arkansas,2018,1,118.3,90.9,110.3,97.3
Wright State,Green Bay,2018,0,106.7,102,103,106.5
Green Bay,Wright State,2018,1,103,106.5,106.7,102
UNC Wilmington,Charleston,2018,0,105.4,114.4,108.5,103.4
Charleston,UNC Wilmington,2018,1,108.5,103.4,105.4,114.4
Southern Utah,Montana,2018,0,96.5,106.5,107.5,103.9
Montana,Southern Utah,2018,1,107.5,103.9,96.5,106.5
Texas,Texas Tech,2018,0,114.1,96.5,112.8,86
Texas Tech,Texas,2018,1,112.8,86,114.1,96.5
La Salle,Dayton,2018,0,99.9,105.1,111.9,100.6
Dayton,La Salle,2018,1,111.9,100.6,99.9,105.1
Dartmouth,Columbia,2018,0,103.3,108,101.8,106.3
Columbia,Dartmouth,2018,1,101.8,106.3,103.3,108
Idaho,Idaho State,2018,0,94.9,118.8,101.9,118.2
Idaho State,Idaho,2018,1,101.9,118.2,94.9,118.8
Gardner-Webb,VCU,2018,0,107.6,108.3,104.3,88.7
VCU,Gardner-Webb,2018,1,104.3,88.7,107.6,108.3
Hampton,VCU,2018,0,107.5,110.1,104.3,88.7
VCU,Hampton,2018,1,104.3,88.7,107.5,110.1
North Alabama,Saint Louis,2018,0,95.1,105.1,102.5,96.4
Saint Louis,North Alabama,2018,1,102.5,96.4,95.1,105.1
Florida A&M,South Florida,2018,0,89,103.3,102.4,97.3
South Florida,Florida A&M,2018,1,102.4,97.3,89,103.3
Hofstra,VCU,2018,0,116.3,108.7,104.3,88.7
VCU,Hofstra,2018,1,104.3,88.7,116.3,108.7
Fairl. Dickinson,Providence,2018,0,106.7,110.5,105,95.8
Providence,Fairl. Dickinson,2018,1,105,95.8,106.7,110.5
Wright State,Indiana State,2018,0,106.7,102,101.1,105.2
Indiana State,Wright State,2018,1,101.1,105.2,106.7,102
Tulsa,Utah,2018,0,104.7,100.5,114.3,108.9
Utah,Tulsa,2018,1,114.3,108.9,104.7,100.5
Boise State,Grand Canyon,2018,0,107.2,104,108.1,102
Grand Canyon,Boise State,2018,1,108.1,102,107.2,104
Rutgers,Wisconsin,2018,0,105.6,96.3,110.9,87.3
Wisconsin,Rutgers,2018,1,110.9,87.3,105.6,96.3
Temple,Villanova,2018,0,108.6,99.6,116.9,98.4
Villanova,Temple,2018,1,116.9,98.4,108.6,99.6
Jackson State,Pepperdine,2018,0,89.8,104.7,106.7,105.4
Pepperdine,Jackson State,2018,1,106.7,105.4,89.8,104.7
Robert Morris,Rider,2018,0,95.9,104.2,101.3,105.8
Rider,Robert Morris,2018,1,101.3,105.8,95.9,104.2
Binghamton,Notre Dame,2018,0,95.9,112.7,108.3,100.8
Notre Dame,Binghamton,2018,1,108.3,100.8,95.9,112.7
Detroit,Xavier,2018,0,106.2,112.6,110.9,100.6
Xavier,Detroit,2018,1,110.9,100.6,106.2,112.6
Fairl. Dickinson,Robert Morris,2018,0,106.7,110.5,95.9,104.2
Robert Morris,Fairl. Dickinson,2018,1,95.9,104.2,106.7,110.5
New Hampshire,Binghamton,2018,0,84.2,107.3,95.9,112.7
Binghamton,New Hampshire,2018,1,95.9,112.7,84.2,107.3
Charleston,James Madison,2018,0,108.5,103.4,101,110.8
James Madison,Charleston,2018,1,101,110.8,108.5,103.4
La Salle,VCU,2018,0,99.9,105.1,104.3,88.7
VCU,La Salle,2018,1,104.3,88.7,99.9,105.1
Charlotte,FIU,2018,0,95.5,106.6,102,105.2
FIU,Charlotte,2018,1,102,105.2,95.5,106.6
Boston College,Notre Dame,2018,0,107.6,102.4,108.3,100.8
Notre Dame,Boston College,2018,1,108.3,100.8,107.6,102.4
Jacksonville,Liberty,2018,0,98.8,106.2,110.6,99.6
Liberty,Jacksonville,2018,1,110.6,99.6,98.8,106.2
Savannah State,Florida A&M,2018,0,96.3,116,89,103.3
Florida A&M,Savannah State,2018,1,89,103.3,96.3,116
Indiana State,Northern Iowa,2018,0,101.1,105.2,101.2,102.4
Northern Iowa,Indiana State,2018,1,101.2,102.4,101.1,105.2
Charleston,Northeastern,2018,0,108.5,103.4,111.5,102.8
Northeastern,Charleston,2018,1,111.5,102.8,108.5,103.4
Maryland,Michigan State,2018,0,113.9,94,121.8,90.5
Michigan State,Maryland,2018,1,121.8,90.5,113.9,94
Navy,Holy Cross,2018,0,97.2,107.1,101,107.8
Holy Cross,Navy,2018,1,101,107.8,97.2,107.1
Arizona State,USC,2018,0,109.9,98.6,109.3,101.6
USC,Arizona State,2018,1,109.3,101.6,109.9,98.6
Idaho,Portland State,2018,0,94.9,118.8,101.6,112
Portland State,Idaho,2018,1,101.6,112,94.9,118.8
Navy,Bucknell,2018,0,97.2,107.1,105.5,103.7
Bucknell,Navy,2018,1,105.5,103.7,97.2,107.1
High Point,Gardner-Webb,2018,0,99.2,104.7,107.6,108.3
Gardner-Webb,High Point,2018,1,107.6,108.3,99.2,104.7
Maryland,Wisconsin,2018,0,113.9,94,110.9,87.3
Wisconsin,Maryland,2018,1,110.9,87.3,113.9,94
UCLA,Washington,2018,0,108.5,102.6,107,93.7
Washington,UCLA,2018,1,107,93.7,108.5,102.6
Portland State,Idaho State,2018,0,101.6,112,101.9,118.2
Idaho State,Portland State,2018,1,101.9,118.2,101.6,112
Portland,Santa Clara,2018,0,94.3,110,101.8,103.8
Santa Clara,Portland,2018,1,101.8,103.8,94.3,110
Vanderbilt,Arkansas,2018,0,102.1,101.2,110.3,97.3
Arkansas,Vanderbilt,2018,1,110.3,97.3,102.1,101.2
Fairl. Dickinson,Sacred Heart,2018,0,106.7,110.5,104.2,110.7
Sacred Heart,Fairl. Dickinson,2018,1,104.2,110.7,106.7,110.5
UNC Wilmington,Drexel,2018,0,105.4,114.4,105.5,112.9
Drexel,UNC Wilmington,2018,1,105.5,112.9,105.4,114.4
High Point,Radford,2018,0,99.2,104.7,108.7,104.3
Radford,High Point,2018,1,108.7,104.3,99.2,104.7
Pacific,BYU,2018,0,99.8,104.3,111.7,104.1
BYU,Pacific,2018,1,111.7,104.1,99.8,104.3
Holy Cross,Lafayette,2018,0,101,107.8,101.4,112.7
